,label,axis,pretty_label,palette_idx
0,LeftAnkle,x,L. ankle (x),                           5
1,LeftAnkle,y,L. ankle (y),                           5
2,LeftAnkle,z,L. ankle (z),                           5
3,LeftElbow,x,L. elbow (x),                           0
4,LeftElbow,y,L. elbow (y),                           0
5,LeftElbow,z,L. elbow (z),                           0
3,LeftToe,x,L. toe (x),                               5
4,LeftToe,y,L. toe (y),                               5
5,LeftToe,z,L. toe (z),                               5
21,RightAnkle,x,R. ankle (x),                        6
22,RightAnkle,y,R. ankle (y),                        6
23,RightAnkle,z,R. ankle (z),                        6
21,RightToe,x,R. toe (x),                            6
22,RightToe,y,R. toe (y),                            6
23,RightToe,z,R. toe (z),                            6
24,RightElbow,x,R. elbow (x),                        0
25,RightElbow,y,R. elbow (y),                        0
26,RightElbow,z,R. elbow (z),                        0
42,LeftElbow,angle,L. elbow (angle),                  0
43,RightElbow,angle,R. elbow (angle),                2
44,LeftKnee,angle,L. knee (angle),                    5
45,RightKnee,angle,R. knee (angle),                  6
46,LeftLimb,length,L. leg (length),                   0
47,RightLimb,length,R. leg (length),                 0
48,LeftAnkle,displacement,L. ankle (displacement),    5
49,LeftElbow,displacement,L. elbow (displacement),    0
53,LeftKnee,displacement,L. knee (displacement),      0
55,RightAnkle,displacement,R. ankle (displacement),  6
56,RightElbow,displacement,R. elbow (displacement),  0
60,RightKnee,displacement,R. knee (displacement),    0
